name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,creative_role 8,creative_role 9,creative_role 10,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,comic_titles 13,comic_titles 14,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image
Arthur Dela Cruz,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://www.comicvine.com/arthur-dela-cruz/4040-12478/,,,
Arvell Jones,Male,African American,,,,,,,Artist,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://en.wikipedia.org/wiki/Arvell_Jones,,,
Ashley Woods,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://ashleybambaland.blogspot.com/,https://www.facebook.com/AshleyAWoodsArt,,
Ashanti Fortson,Non-binary,"Mexican American, Mixed",,,,,1997,,Creator,,,,,,,,,,Galanthus, Lawbreaker,,,,,,,,,,,,,Webcomic, Sci-Fi, Fantasy,,,,,,http://galanthuscomic.com,http://ashantifortson.tumblr.com,https://twitter.com/ashantifortson,
Attila Adorjany,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audra Ann Furuichi,Female,,,,,,,,,,,,,,,,,,Nemu Nemu,,,,,,,,,,,,,,Manga,,,,,,,,http://www.nemu-nemu.com/,,,
Aurora Garcia,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manga,,,,,,,,http://sparklermonthly.com/,,,
Autumn Crossman-Serb,Female,Metis-Arab Canadian,,,,,1990,,Artist, Writer, Creator,,,,,,,,Creation, Harvest, Con Spirito,,,,,,,,,,,,indie,,,,,,,,https://autumngrace.carbonmade.com/,http://akitron.tumblr.com/,https://twitter.com/Akitron,
Aya Kakeda,Female,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.ayakakeda.com/,,,
B. Alex Thompson,Male,"African American, Native American",Los Angeles, CA,,United States,,,Writer, Creator, Artist, Letterer, Editor,,,,,,Chaos Campus: Sorority Girls vs. Zombies, Hass, Amour, The Evil Inside, Southern Hospitality," Blood, Shells, & Roses", Lethal Instinct, Myriad, Vampires Unlimited, The Vessel, The Lazarus Factor, Flesh for the Unborn, ChiSai, Catalyst Prime: The Chosen,Indie; Horror; Action; Humor; Drama,,,,,,,,http://alexthompsonwriter.com/,http://www.facebook.com/southernhospitalityapprobation,http://twitter.com/ApproBAT,http://alexthompsonwriter.com/wp-content/uploads/2013/06/BAT2014b.jpg
